taxon_key,koeder,n_videos,n_present,occurrence_rate,mean_maxn,median_maxn,std_maxn,max_maxn
species::humpnose bigeye (monotaxis grandoculis),algaemix,3,0,0.0,0.0,0.0,0.0,0.0
species::humpnose bigeye (monotaxis grandoculis),control,1,1,1.0,2.0,2.0,0.0,2.0
species::humpnose bigeye (monotaxis grandoculis),mackerel,4,3,0.75,1.25,1.5,0.9574271077563381,2.0
species::indian longnose (hipposcarus harid),algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
species::indian longnose (hipposcarus harid),algaemix,3,1,0.3333333333333333,1.0,0.0,1.7320508075688772,3.0
species::indian longnose (hipposcarus harid),control,1,0,0.0,0.0,0.0,0.0,0.0
species::indian longnose (hipposcarus harid),mackerel,4,0,0.0,0.0,0.0,0.0,0.0
species::indian redfin (chaetodon trifasciatus),algae_strings,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
species::indian redfin (chaetodon trifasciatus),algaemix,3,2,0.6666666666666666,1.0,1.0,1.0,2.0
species::indian redfin (chaetodon trifasciatus),control,1,0,0.0,0.0,0.0,0.0,0.0
species::indian redfin (chaetodon trifasciatus),mackerel,4,3,0.75,1.25,1.5,0.9574271077563381,2.0
species::lined bristletooth (ctenochaetus striatus),algae_strings,3,2,0.6666666666666666,1.3333333333333333,2.0,1.1547005383792517,2.0
species::lined bristletooth (ctenochaetus striatus),algaemix,3,2,0.6666666666666666,1.6666666666666667,2.0,1.5275252316519465,3.0
species::lined bristletooth (ctenochaetus striatus),control,1,1,1.0,4.0,4.0,0.0,4.0
species::lined bristletooth (ctenochaetus striatus),mackerel,4,3,0.75,2.75,3.0,2.217355782608345,5.0
species::linedcheeked (oxycheilinus digramma),algae_strings,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
species::linedcheeked (oxycheilinus digramma),algaemix,3,0,0.0,0.0,0.0,0.0,0.0
species::linedcheeked (oxycheilinus digramma),control,1,0,0.0,0.0,0.0,0.0,0.0
species::linedcheeked (oxycheilinus digramma),mackerel,4,1,0.25,0.25,0.0,0.5,1.0
species::longbarbel (parupeneus macronemus),algae_strings,3,3,1.0,5.666666666666667,5.0,1.1547005383792517,7.0
species::longbarbel (parupeneus macronemus),algaemix,3,3,1.0,2.6666666666666665,2.0,1.1547005383792515,4.0
species::longbarbel (parupeneus macronemus),control,1,1,1.0,2.0,2.0,0.0,2.0
species::longbarbel (parupeneus macronemus),mackerel,4,4,1.0,3.0,2.5,2.449489742783178,6.0
species::longfin banner (heniochus acuminatus),algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
species::longfin banner (heniochus acuminatus),algaemix,3,0,0.0,0.0,0.0,0.0,0.0
species::longfin banner (heniochus acuminatus),control,1,0,0.0,0.0,0.0,0.0,0.0
species::longfin banner (heniochus acuminatus),mackerel,4,2,0.5,0.75,0.5,0.9574271077563381,2.0
species::longnose (lethrinus olivaceus),algae_strings,3,1,0.3333333333333333,0.6666666666666666,0.0,1.1547005383792517,2.0
species::longnose (lethrinus olivaceus),algaemix,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
species::longnose (lethrinus olivaceus),control,1,0,0.0,0.0,0.0,0.0,0.0
species::longnose (lethrinus olivaceus),mackerel,4,1,0.25,0.5,0.0,1.0,2.0
species::mahsena (lethrinus mahsena),algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
species::mahsena (lethrinus mahsena),algaemix,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
species::mahsena (lethrinus mahsena),control,1,0,0.0,0.0,0.0,0.0,0.0
species::mahsena (lethrinus mahsena),mackerel,4,1,0.25,0.25,0.0,0.5,1.0
species::map (arothron mappa),algae_strings,3,2,0.6666666666666666,0.6666666666666666,1.0,0.5773502691896258,1.0
species::map (arothron mappa),algaemix,3,1,0.3333333333333333,0.6666666666666666,0.0,1.1547005383792517,2.0
species::map (arothron mappa),control,1,0,0.0,0.0,0.0,0.0,0.0
species::map (arothron mappa),mackerel,4,0,0.0,0.0,0.0,0.0,0.0
species::monk (acanthurus gahhm),algae_strings,3,3,1.0,2.6666666666666665,2.0,1.1547005383792515,4.0
species::monk (acanthurus gahhm),algaemix,3,3,1.0,2.0,2.0,0.0,2.0
species::monk (acanthurus gahhm),control,1,1,1.0,8.0,8.0,0.0,8.0
species::monk (acanthurus gahhm),mackerel,4,4,1.0,2.0,2.0,0.816496580927726,3.0
species::moon (thalassoma lunare),algae_strings,3,2,0.6666666666666666,0.6666666666666666,1.0,0.5773502691896258,1.0
species::moon (thalassoma lunare),algaemix,3,3,1.0,1.3333333333333333,1.0,0.5773502691896257,2.0
species::moon (thalassoma lunare),control,1,1,1.0,1.0,1.0,0.0,1.0
species::moon (thalassoma lunare),mackerel,4,4,1.0,4.5,3.0,4.509249752822894,11.0
species::moorish idol (zanclus cornutus),algae_strings,3,3,1.0,1.6666666666666667,2.0,0.5773502691896257,2.0
species::moorish idol (zanclus cornutus),algaemix,3,3,1.0,4.0,4.0,3.0,7.0
species::moorish idol (zanclus cornutus),control,1,0,0.0,0.0,0.0,0.0,0.0
species::moorish idol (zanclus cornutus),mackerel,4,2,0.5,2.25,0.5,3.8622100754188224,8.0
species::mozambique fangblenny (meiacanthus mossambicus),algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
species::mozambique fangblenny (meiacanthus mossambicus),algaemix,3,0,0.0,0.0,0.0,0.0,0.0
species::mozambique fangblenny (meiacanthus mossambicus),control,1,0,0.0,0.0,0.0,0.0,0.0
species::mozambique fangblenny (meiacanthus mossambicus),mackerel,4,2,0.5,0.75,0.5,0.9574271077563381,2.0
species::paletail unicorn (naso brevirostris),algae_strings,3,3,1.0,20.0,23.0,5.196152422706632,23.0
species::paletail unicorn (naso brevirostris),algaemix,3,3,1.0,31.0,32.0,9.539392014169456,40.0
species::paletail unicorn (naso brevirostris),control,1,0,0.0,0.0,0.0,0.0,0.0
species::paletail unicorn (naso brevirostris),mackerel,4,3,0.75,3.25,1.5,4.573474244670748,10.0
species::peacock damsel (pomacentrus pavo),algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
species::peacock damsel (pomacentrus pavo),algaemix,3,0,0.0,0.0,0.0,0.0,0.0
species::peacock damsel (pomacentrus pavo),control,1,1,1.0,2.0,2.0,0.0,2.0
species::peacock damsel (pomacentrus pavo),mackerel,4,1,0.25,1.25,0.0,2.5,5.0
species::queen (coris formosa),algae_strings,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
species::queen (coris formosa),algaemix,3,2,0.6666666666666666,0.6666666666666666,1.0,0.5773502691896258,1.0
species::queen (coris formosa),control,1,0,0.0,0.0,0.0,0.0,0.0
species::queen (coris formosa),mackerel,4,1,0.25,0.25,0.0,0.5,1.0
species::raccoon (chaetodon lunula),algae_strings,3,2,0.6666666666666666,0.6666666666666666,1.0,0.5773502691896258,1.0
