taxon_key,koeder_a,koeder_b,n_a,n_b,mean_a,mean_b,u_stat,p_value,p_value_holm_within_taxon,p_value_bh_within_taxon,significant_holm_within_taxon,significant_bh_within_taxon
species::orange-lined (balistapus undulatus),control,sargassum,4,3,0.0,0.0,6.0,1.0,1.0,1.0,False,False
species::orange-lined (balistapus undulatus),control,ulva_gutweed,4,3,0.0,0.0,6.0,1.0,1.0,1.0,False,False
species::orange-lined (balistapus undulatus),control,ulva_salad,4,3,0.0,0.3333333333333333,4.0,0.3864762307712327,1.0,0.6213242673637878,False,False
species::orange-lined (balistapus undulatus),fischmix,mackerel,2,3,8.5,3.0,4.5,0.4142161782425252,1.0,0.6213242673637878,False,False
species::orange-lined (balistapus undulatus),fischmix,sargassum,2,3,8.5,0.0,6.0,0.1065831695748876,1.0,0.22839250623190202,False,False
species::orange-lined (balistapus undulatus),fischmix,ulva_gutweed,2,3,8.5,0.0,6.0,0.1065831695748876,1.0,0.22839250623190202,False,False
species::orange-lined (balistapus undulatus),fischmix,ulva_salad,2,3,8.5,0.3333333333333333,6.0,0.1386406338132186,1.0,0.25995118839978487,False,False
species::orange-lined (balistapus undulatus),mackerel,sargassum,3,3,3.0,0.0,9.0,0.04685417760387376,0.6559584864542326,0.17803931637575957,False,False
species::orange-lined (balistapus undulatus),mackerel,ulva_gutweed,3,3,3.0,0.0,9.0,0.04685417760387376,0.6559584864542326,0.17803931637575957,False,False
species::orange-lined (balistapus undulatus),mackerel,ulva_salad,3,3,3.0,0.3333333333333333,9.0,0.05934643879191985,0.6628110446167657,0.17803931637575957,False,False
species::orange-lined (balistapus undulatus),sargassum,ulva_gutweed,3,3,0.0,0.0,4.5,1.0,1.0,1.0,False,False
species::orange-lined (balistapus undulatus),sargassum,ulva_salad,3,3,0.0,0.3333333333333333,3.0,0.5049850750938458,1.0,0.6312313438673073,False,False
species::orange-lined (balistapus undulatus),ulva_gutweed,ulva_salad,3,3,0.0,0.3333333333333333,3.0,0.5049850750938458,1.0,0.6312313438673073,False,False
species::red (lutjanus bohar),control,fischmix,4,2,0.0,1.0,0.0,0.050399282871482265,0.7559892430722339,0.5876243404831958,False,False
species::red (lutjanus bohar),control,mackerel,4,3,0.0,0.6666666666666666,2.0,0.11752486809663916,1.0,0.5876243404831958,False,False
species::red (lutjanus bohar),control,sargassum,4,3,0.0,0.3333333333333333,4.0,0.3864762307712327,1.0,0.7246429326960614,False,False
species::red (lutjanus bohar),control,ulva_gutweed,4,3,0.0,0.0,6.0,1.0,1.0,1.0,False,False
species::red (lutjanus bohar),control,ulva_salad,4,3,0.0,0.3333333333333333,4.0,0.3864762307712327,1.0,0.7246429326960614,False,False
species::red (lutjanus bohar),fischmix,mackerel,2,3,1.0,0.6666666666666666,4.0,0.6830913983096087,1.0,0.7881823826649332,False,False
species::red (lutjanus bohar),fischmix,sargassum,2,3,1.0,0.3333333333333333,5.0,0.31731050786291415,1.0,0.7246429326960614,False,False
