video_annotation_label_id,label_name,label_hierarchy,frames
3475446,Brown Pigmy (Centropyge multispinis),Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Brown Pigmy (Centropyge multispinis),[2052.0756971]
3475447,Brown Pigmy (Centropyge multispinis),Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Brown Pigmy (Centropyge multispinis),[2052.0756971]
3475469,Genus Squirrel (Sargocentron),Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Squirrel (Sargocentron),[2060.4311891]
3475470,Genus Squirrel (Sargocentron),Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Squirrel (Sargocentron),[2060.4311891]
3475472,Genus Squirrel (Sargocentron),Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Squirrel (Sargocentron),[2060.4311891]
3475479,Genus Squirrel (Sargocentron),Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Squirrel (Sargocentron),[2060.4311891]
3475484,Bicolor (Labroides bicolor),Wrasses > Wrasses (Labridae) > Bicolor (Labroides bicolor),[2092.4901056]
3475487,Red-breasted (Cheilinus fasciatus),Wrasses > Wrasses (Labridae) > Red-breasted (Cheilinus fasciatus),[2231.2312257]
3475488,Red-breasted (Cheilinus fasciatus),Wrasses > Wrasses (Labridae) > Red-breasted (Cheilinus fasciatus),[2231.2312257]
3475491,Orangespotted (Lethrinus erythracanthus),Sloping Heads > Emperors (Lethrinidae) > Orangespotted (Lethrinus erythracanthus),[2490.100715]
3475517,Bullethead (Chlorurus sordidus),Parrotfishes > Parrotfishes (Scaridae) > Bullethead (Chlorurus sordidus),[2598.9075032]
3475518,Bullethead (Chlorurus sordidus),Parrotfishes > Parrotfishes (Scaridae) > Bullethead (Chlorurus sordidus),[2598.9075032]
3475519,Bullethead (Chlorurus sordidus),Parrotfishes > Parrotfishes (Scaridae) > Bullethead (Chlorurus sordidus),[2598.9075032]
3475520,Bullethead (Chlorurus sordidus),Parrotfishes > Parrotfishes (Scaridae) > Bullethead (Chlorurus sordidus),[2598.9075032]
3475521,Bullethead (Chlorurus sordidus),Parrotfishes > Parrotfishes (Scaridae) > Bullethead (Chlorurus sordidus),[2598.9075032]
3475522,Bullethead (Chlorurus sordidus),Parrotfishes > Parrotfishes (Scaridae) > Bullethead (Chlorurus sordidus),[2598.9075032]
3475523,Bullethead (Chlorurus sordidus),Parrotfishes > Parrotfishes (Scaridae) > Bullethead (Chlorurus sordidus),[2598.9075032]
3475524,Bullethead (Chlorurus sordidus),Parrotfishes > Parrotfishes (Scaridae) > Bullethead (Chlorurus sordidus),[2598.9075032]
3475529,Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus),[2620.2515458]
3475531,Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus),[2620.2515458]
3475553,Meyer's (Chaetodon meyeri),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Meyer's (Chaetodon meyeri),[2751.3175755]
3475573,Mozambique Fangblenny (Meiacanthus mossambicus),Blennies > Blennies (Blenniidae) > Mozambique Fangblenny (Meiacanthus mossambicus),[2857.8407154]
3475576,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),[2904.5240395]
3475577,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),[2904.5240395]
3475599,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[3021.3942025]
3475600,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[3021.3942025]
3475601,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[3021.3942025]
3475602,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[3021.3942025]
3475603,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[3021.3942025]
3475604,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[3021.3942025]
3475605,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[3021.3942025]
3475606,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[3021.3942025]
3475607,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[3021.3942025]
3475608,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[3036.7894717]
3475609,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[3036.7894717]
3475610,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[3036.7894717]
3475611,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[3036.7894717]
3475612,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[3036.7894717]
3475613,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[3036.7894717]
3475614,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[3036.7894717]
3475615,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[3036.7894717]
3475616,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[3036.7894717]
3475617,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[3036.7894717]
3475618,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[3036.7894717]
3475619,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[3036.7894717]
3475620,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[3036.7894717]
3475621,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[3036.7894717]
3475622,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[3036.7894717]
3475623,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[3036.7894717]
3475624,Barred (Hemigymnus fasciatus),Wrasses > Wrasses (Labridae) > Barred (Hemigymnus fasciatus),[3133.7810513]
3475630,Humpnose Bigeye (Monotaxis grandoculis),Sloping Heads > Emperors (Lethrinidae) > Humpnose Bigeye (Monotaxis grandoculis),[3237.3300506]
3475632,Humpnose Bigeye (Monotaxis grandoculis),Sloping Heads > Emperors (Lethrinidae) > Humpnose Bigeye (Monotaxis grandoculis),[3237.3300506]
3475641,Bird wrasse (Gomphosus caeruleus),Wrasses > Wrasses (Labridae) > Bird wrasse (Gomphosus caeruleus),[3253.4848543]
3475643,Bird wrasse (Gomphosus caeruleus),Wrasses > Wrasses (Labridae) > Bird wrasse (Gomphosus caeruleus),[3253.4848543]
3475669,Scrawled (Aluterus scriptus),Odd-shaped Swimmers > Filefishes (Monacanthidae) > Scrawled (Aluterus scriptus),[3500.651296]
3475682,Raccoon (Chaetodon lunula),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Raccoon (Chaetodon lunula),[3535.5263853]
3475683,Raccoon (Chaetodon lunula),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Raccoon (Chaetodon lunula),[3535.5263853]
3548393,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,[2445.023191]
3548394,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,[2445.023191]
3548395,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,[2445.023191]
3548396,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,[2445.023191]
3548397,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,[2445.023191]
3548398,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,[2445.023191]
3548399,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,[2445.023191]
3548400,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,[2445.023191]
3548401,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,[2445.023191]
3548402,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,[2445.023191]
3548403,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,[2445.023191]
