label_name,label_hierarchy,count,file_name
Linedcheeked (Oxycheilinus digramma),Wrasses > Wrasses (Labridae) > Linedcheeked (Oxycheilinus digramma),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Redmouth (Aethaloperca rogaa),Heavy Bodies/Large Lips > Groupers (Serranidae) > Redmouth (Aethaloperca rogaa),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Red-breasted (Cheilinus fasciatus),Wrasses > Wrasses (Labridae) > Red-breasted (Cheilinus fasciatus),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Red (Lutjanus bohar),Sloping Heads > Snappers (Lutjanidae) > Red (Lutjanus bohar),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Snubnose (Lethrinus borbonicus),Sloping Heads > Emperors (Lethrinidae) > Snubnose (Lethrinus borbonicus),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Sixbar (Thalassoma hardwicke),Wrasses > Wrasses (Labridae) > Sixbar (Thalassoma hardwicke),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Threadfin (Chaetodon auriga),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Threadfin (Chaetodon auriga),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Swarthy (Scarus niger),Parrotfishes > Parrotfishes (Scaridae) > Swarthy (Scarus niger),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Titan (Balistoides viridescens),Odd-shaped Swimmers > Triggerfishes (Balistidae) > Titan (Balistoides viridescens),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Trumpetfish (Aulostomus chinensis),Odd-shaped Swimmers > Trumpetfishes (Aulostomidae) > Trumpetfish (Aulostomus chinensis),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Tunas/Mackerels (Scombridae),Silvery > Tunas/Mackerels (Scombridae),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Wirenet (Cantherhines pardalis),Odd-shaped Swimmers > Filefishes (Monacanthidae) > Wirenet (Cantherhines pardalis),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),140,22376-2510utumbi-c8-meersalat-ganz.csv
Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),106,22376-2510utumbi-c8-meersalat-ganz.csv
Fusiliers (Caesionidae),Slender Schoolers/Colourful > Fusiliers (Caesionidae),88,22376-2510utumbi-c8-meersalat-ganz.csv
Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,61,22376-2510utumbi-c8-meersalat-ganz.csv
Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),38,22376-2510utumbi-c8-meersalat-ganz.csv
Jacks/Trevallyes (Carangidae),Silvery > Jacks/Trevallyes (Carangidae),10,22376-2510utumbi-c8-meersalat-ganz.csv
Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),9,22376-2510utumbi-c8-meersalat-ganz.csv
Disappearing (Pseudocheilinus evanidus),Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus),9,22376-2510utumbi-c8-meersalat-ganz.csv
Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),9,22376-2510utumbi-c8-meersalat-ganz.csv
Genus Soldier (Myripristis),Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Soldier (Myripristis),7,22376-2510utumbi-c8-meersalat-ganz.csv
Bullethead (Chlorurus sordidus),Parrotfishes > Parrotfishes (Scaridae) > Bullethead (Chlorurus sordidus),6,22376-2510utumbi-c8-meersalat-ganz.csv
Eclipse (Chaetodon bennetti),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Eclipse (Chaetodon bennetti),6,22376-2510utumbi-c8-meersalat-ganz.csv
Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),5,22376-2510utumbi-c8-meersalat-ganz.csv
Wrasses (Labridae),Wrasses > Wrasses (Labridae),4,22376-2510utumbi-c8-meersalat-ganz.csv
Five-saddle (Scarus saber),Parrotfishes > Parrotfishes (Scaridae) > Five-saddle (Scarus saber),3,22376-2510utumbi-c8-meersalat-ganz.csv
Honeycomb (Siganus stellatus),Large Ovals > Rabbitfishes (Siganidae) > Honeycomb (Siganus stellatus),3,22376-2510utumbi-c8-meersalat-ganz.csv
Elegant Unicorn (Naso elegans),Large Ovals > Surgeonfishes (Acanthuridae) > Elegant Unicorn (Naso elegans),3,22376-2510utumbi-c8-meersalat-ganz.csv
Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),3,22376-2510utumbi-c8-meersalat-ganz.csv
Lined Bristletooth (Ctenochaetus striatus),Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus),3,22376-2510utumbi-c8-meersalat-ganz.csv
Trumpetfish (Aulostomus chinensis),Odd-shaped Swimmers > Trumpetfishes (Aulostomidae) > Trumpetfish (Aulostomus chinensis),3,22376-2510utumbi-c8-meersalat-ganz.csv
Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus),3,22376-2510utumbi-c8-meersalat-ganz.csv
Moorish Idol (Zanclus cornutus),Large Ovals > Moorish Idol (Zanclidae) > Moorish Idol (Zanclus cornutus),3,22376-2510utumbi-c8-meersalat-ganz.csv
Orange-lined (Balistapus undulatus),Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus),3,22376-2510utumbi-c8-meersalat-ganz.csv
Spotted (Chaetodon guttatissimus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Spotted (Chaetodon guttatissimus),2,22376-2510utumbi-c8-meersalat-ganz.csv
Axilspot Hogfish (Bodianus axillaris),Wrasses > Wrasses (Labridae) > Axilspot Hogfish (Bodianus axillaris),2,22376-2510utumbi-c8-meersalat-ganz.csv
Yellowhead (Chaetodon xanthocephalus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Yellowhead (Chaetodon xanthocephalus),2,22376-2510utumbi-c8-meersalat-ganz.csv
Swarthy (Scarus niger),Parrotfishes > Parrotfishes (Scaridae) > Swarthy (Scarus niger),2,22376-2510utumbi-c8-meersalat-ganz.csv
Bird wrasse (Gomphosus caeruleus),Wrasses > Wrasses (Labridae) > Bird wrasse (Gomphosus caeruleus),2,22376-2510utumbi-c8-meersalat-ganz.csv
Genus Naso,Large Ovals > Surgeonfishes (Acanthuridae) > Genus Naso,1,22376-2510utumbi-c8-meersalat-ganz.csv
Freckled (Paracirrhites forsteri),Heavy Bodies/Large Lips > Hawkfishes (Cirrhitidae) > Freckled (Paracirrhites forsteri),1,22376-2510utumbi-c8-meersalat-ganz.csv
Claudia (Halichoeres claudia),Wrasses > Wrasses (Labridae) > Claudia (Halichoeres claudia),1,22376-2510utumbi-c8-meersalat-ganz.csv
Bicolor (Labroides bicolor),Wrasses > Wrasses (Labridae) > Bicolor (Labroides bicolor),1,22376-2510utumbi-c8-meersalat-ganz.csv
Black Saddled Toby (Canthigaster valentini),Odd-shaped Swimmers > Puffers (Tetraodontidae) > Black Saddled Toby (Canthigaster valentini),1,22376-2510utumbi-c8-meersalat-ganz.csv
Black-backed (Chaetodon melannotus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Black-backed (Chaetodon melannotus),1,22376-2510utumbi-c8-meersalat-ganz.csv
Barred (Hemigymnus fasciatus),Wrasses > Wrasses (Labridae) > Barred (Hemigymnus fasciatus),1,22376-2510utumbi-c8-meersalat-ganz.csv
Brown Pigmy (Centropyge multispinis),Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Brown Pigmy (Centropyge multispinis),1,22376-2510utumbi-c8-meersalat-ganz.csv
Bluefin (Caranx melampygus),Silvery > Jacks/Trevallyes (Carangidae) > Bluefin (Caranx melampygus),1,22376-2510utumbi-c8-meersalat-ganz.csv
Blackeye (Hemigymnus melapterus),Wrasses > Wrasses (Labridae) > Blackeye (Hemigymnus melapterus),1,22376-2510utumbi-c8-meersalat-ganz.csv
Black-lipped (Chaetodon kleinii),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Black-lipped (Chaetodon kleinii),1,22376-2510utumbi-c8-meersalat-ganz.csv
Genus Squirrel (Sargocentron),Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Squirrel (Sargocentron),1,22376-2510utumbi-c8-meersalat-ganz.csv
Orange-lined Interested,Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus) > Orange-lined Interested,1,22376-2510utumbi-c8-meersalat-ganz.csv
Mozambique Fangblenny (Meiacanthus mossambicus),Blennies > Blennies (Blenniidae) > Mozambique Fangblenny (Meiacanthus mossambicus),1,22376-2510utumbi-c8-meersalat-ganz.csv
Orange-lined Feeding,Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus) > Orange-lined Feeding,1,22376-2510utumbi-c8-meersalat-ganz.csv
Leopard (Cephalopholis leopardus),Heavy Bodies/Large Lips > Groupers (Serranidae) > Leopard (Cephalopholis leopardus),1,22376-2510utumbi-c8-meersalat-ganz.csv
Groupers (Serranidae),Heavy Bodies/Large Lips > Groupers (Serranidae),1,22376-2510utumbi-c8-meersalat-ganz.csv
Linedcheeked (Oxycheilinus digramma),Wrasses > Wrasses (Labridae) > Linedcheeked (Oxycheilinus digramma),1,22376-2510utumbi-c8-meersalat-ganz.csv
