taxon_key,standort,n_videos,n_present,occurrence_rate,mean_maxn,median_maxn,std_maxn,max_maxn
species::goldbar (thalassoma hebraicum),utumbi,18,18,1.0,2.0555555555555554,2.0,1.2113299556429324,6.0
species::golden (ctenochaetus truncates),milimani,17,0,0.0,0.0,0.0,0.0,0.0
species::golden (ctenochaetus truncates),nursery,11,0,0.0,0.0,0.0,0.0,0.0
species::golden (ctenochaetus truncates),utumbi,18,13,0.7222222222222222,1.6666666666666667,2.0,1.1881770515720094,3.0
species::goldsaddle (parupeneus cyclostomus),milimani,17,0,0.0,0.0,0.0,0.0,0.0
species::goldsaddle (parupeneus cyclostomus),nursery,11,1,0.09090909090909091,0.09090909090909091,0.0,0.3015113445777636,1.0
species::goldsaddle (parupeneus cyclostomus),utumbi,18,0,0.0,0.0,0.0,0.0,0.0
species::green (amblyglyphidodon indicus),milimani,17,17,1.0,3.8823529411764706,2.0,4.151541173786797,16.0
species::green (amblyglyphidodon indicus),nursery,11,3,0.2727272727272727,1.0909090909090908,0.0,2.0714509627092528,6.0
species::green (amblyglyphidodon indicus),utumbi,18,17,0.9444444444444444,4.277777777777778,2.5,4.560773354900596,18.0
species::halfmoon (sufflamen chrysopterum),milimani,17,0,0.0,0.0,0.0,0.0,0.0
species::halfmoon (sufflamen chrysopterum),nursery,11,3,0.2727272727272727,0.2727272727272727,0.0,0.46709936649691375,1.0
species::halfmoon (sufflamen chrysopterum),utumbi,18,1,0.05555555555555555,0.05555555555555555,0.0,0.23570226039551584,1.0
species::honeycomb (siganus stellatus),milimani,17,12,0.7058823529411765,1.411764705882353,2.0,0.9393364366277243,2.0
species::honeycomb (siganus stellatus),nursery,11,8,0.7272727272727273,2.6363636363636362,4.0,1.9116865471476894,5.0
species::honeycomb (siganus stellatus),utumbi,18,7,0.3888888888888889,0.6666666666666666,0.0,0.9074852129730302,2.0
species::humpback (lutjanus gibbus),milimani,17,0,0.0,0.0,0.0,0.0,0.0
species::humpback (lutjanus gibbus),nursery,11,11,1.0,20.181818181818183,20.0,14.455574577429855,45.0
species::humpback (lutjanus gibbus),utumbi,18,0,0.0,0.0,0.0,0.0,0.0
species::humpback unicorn (naso brachycentron),milimani,17,8,0.47058823529411764,0.47058823529411764,0.0,0.5144957554275266,1.0
species::humpback unicorn (naso brachycentron),nursery,11,0,0.0,0.0,0.0,0.0,0.0
species::humpback unicorn (naso brachycentron),utumbi,18,7,0.3888888888888889,0.6666666666666666,0.0,1.4142135623730951,6.0
species::humphead (cheilinus undulatus),milimani,17,2,0.11764705882352941,0.11764705882352941,0.0,0.3321055820775357,1.0
species::humphead (cheilinus undulatus),nursery,11,0,0.0,0.0,0.0,0.0,0.0
species::humphead (cheilinus undulatus),utumbi,18,3,0.16666666666666666,0.16666666666666666,0.0,0.38348249442368526,1.0
species::humpnose bigeye (monotaxis grandoculis),milimani,17,16,0.9411764705882353,3.764705882352941,2.0,3.976955678730684,15.0
