comparison_key,comparison,level,metric_source,taxon,n_present_videos_total,groups,mean_algaemix,occ_algaemix,n_algaemix,mean_mackerel,occ_mackerel,n_mackerel,test,statistic,p_value,effect_name,effect_size,perm_p_value_mean_diff,p_value_holm,p_value_bh,sig_raw,sig_holm,sig_bh,significant_raw,significant_holm,significant_bh
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,black-backed (chaetodon melannotus),6,algaemix | mackerel,4.333333333333333,1.0,3,1.5,0.75,4,Mann-Whitney U,9.5,0.4,cliffs_delta,0.5833333333333334,0.22857142857142856,1.0,0.9877551020408164,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,mozambique fangblenny (meiacanthus mossambicus),2,algaemix | mackerel,0.0,0.0,3,0.75,0.5,4,Mann-Whitney U,3.0,0.4,cliffs_delta,-0.5,0.42857142857142855,1.0,0.9877551020408164,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,saddleback (chaetodon falcula),2,algaemix | mackerel,0.0,0.0,3,0.5,0.5,4,Mann-Whitney U,3.0,0.4,cliffs_delta,-0.5,0.42857142857142855,1.0,0.9877551020408164,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,false-eye (abudefduf sparoides),5,algaemix | mackerel,1.0,1.0,3,0.5,0.5,4,Mann-Whitney U,9.0,0.4,cliffs_delta,0.5,0.42857142857142855,1.0,0.9877551020408164,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,lined bristletooth (ctenochaetus striatus),5,algaemix | mackerel,1.6666666666666667,0.6666666666666666,3,2.75,0.75,4,Mann-Whitney U,4.0,0.6285714285714286,cliffs_delta,-0.3333333333333333,0.6,1.0,0.9877551020408164,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,indian longnose (hipposcarus harid),1,algaemix | mackerel,1.0,0.3333333333333333,3,0.0,0.0,4,Mann-Whitney U,8.0,0.6285714285714286,cliffs_delta,0.3333333333333333,0.42857142857142855,1.0,0.9877551020408164,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,goldbar (thalassoma hebraicum),1,algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,0.0,0.0,4,Mann-Whitney U,8.0,0.6285714285714286,cliffs_delta,0.3333333333333333,0.42857142857142855,1.0,0.9877551020408164,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,halfmoon (sufflamen chrysopterum),1,algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,0.0,0.0,4,Mann-Whitney U,8.0,0.6285714285714286,cliffs_delta,0.3333333333333333,0.42857142857142855,1.0,0.9877551020408164,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,bird wrasse (gomphosus caeruleus),1,algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,0.0,0.0,4,Mann-Whitney U,8.0,0.6285714285714286,cliffs_delta,0.3333333333333333,0.42857142857142855,1.0,0.9877551020408164,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,black saddled toby (canthigaster valentini),4,algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,0.75,0.75,4,Mann-Whitney U,3.5,0.6285714285714286,cliffs_delta,-0.4166666666666667,0.4857142857142857,1.0,0.9877551020408164,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,blackwhite (macolor niger),6,algaemix | mackerel,0.6666666666666666,0.6666666666666666,3,1.0,1.0,4,Mann-Whitney U,4.0,0.6285714285714286,cliffs_delta,-0.3333333333333333,0.42857142857142855,1.0,0.9877551020408164,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,scissortail sergeant (abudefduf sexfasciatus),5,algaemix | mackerel,2.0,1.0,3,1.25,0.5,4,Mann-Whitney U,8.0,0.6285714285714286,cliffs_delta,0.3333333333333333,0.5714285714285714,1.0,0.9877551020408164,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,yellowhead (chaetodon xanthocephalus),5,algaemix | mackerel,0.6666666666666666,0.6666666666666666,3,2.25,0.75,4,Mann-Whitney U,3.5,0.6285714285714286,cliffs_delta,-0.4166666666666667,0.4,1.0,0.9877551020408164,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,weber's puller (chromis weberi),1,algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,0.0,0.0,4,Mann-Whitney U,8.0,0.6285714285714286,cliffs_delta,0.3333333333333333,0.42857142857142855,1.0,0.9877551020408164,ns,ns,ns,False,False,False
