comparison_key,comparison,level,metric_source,taxon,n_present_videos_total,groups,mean_algae_strings,occ_algae_strings,n_algae_strings,mean_algaemix,occ_algaemix,n_algaemix,mean_mackerel,occ_mackerel,n_mackerel,test,statistic,p_value,effect_name,effect_size,perm_p_value_mean_diff,p_value_holm,p_value_bh,sig_raw,sig_holm,sig_bh,significant_raw,significant_holm,significant_bh
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,blackwhite (macolor niger),9,algae_strings | algaemix | mackerel,1.0,1.0,3,0.6666666666666666,0.6666666666666666,3,1.0,1.0,4,Kruskal-Wallis,2.3333333333333477,0.31140322391459535,epsilon_squared,0.04761904761904967,,1.0,0.5818323394193755,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,bird wrasse (gomphosus caeruleus),1,algae_strings | algaemix | mackerel,0.0,0.0,3,0.3333333333333333,0.3333333333333333,3,0.0,0.0,4,Kruskal-Wallis,2.3333333333333477,0.31140322391459535,epsilon_squared,0.04761904761904967,,1.0,0.5818323394193755,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,yellowmargin (pseudobalistes flavimarginatus),1,algae_strings | algaemix | mackerel,0.0,0.0,3,2.0,0.3333333333333333,3,0.0,0.0,4,Kruskal-Wallis,2.3333333333333477,0.31140322391459535,epsilon_squared,0.04761904761904967,,1.0,0.5818323394193755,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,brown pigmy (centropyge multispinis),1,algae_strings | algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,0.0,0.0,3,0.0,0.0,4,Kruskal-Wallis,2.3333333333333477,0.31140322391459535,epsilon_squared,0.04761904761904967,,1.0,0.5818323394193755,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,bicolor (labroides bicolor),1,algae_strings | algaemix | mackerel,0.0,0.0,3,0.3333333333333333,0.3333333333333333,3,0.0,0.0,4,Kruskal-Wallis,2.3333333333333477,0.31140322391459535,epsilon_squared,0.04761904761904967,,1.0,0.5818323394193755,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,yellowhead (chaetodon xanthocephalus),8,algae_strings | algaemix | mackerel,1.6666666666666667,1.0,3,0.6666666666666666,0.6666666666666666,3,2.25,0.75,4,Kruskal-Wallis,2.0427631578947376,0.3600970937814435,epsilon_squared,0.006109022556391087,,1.0,0.6335715798498114,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,indian redfin (chaetodon trifasciatus),6,algae_strings | algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,1.0,0.6666666666666666,3,1.25,0.75,4,Kruskal-Wallis,1.895408163265297,0.3876299693567837,epsilon_squared,0.0,,1.0,0.6335715798498114,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,false-eye (abudefduf sparoides),7,algae_strings | algaemix | mackerel,0.6666666666666666,0.6666666666666666,3,1.0,1.0,3,0.5,0.5,4,Kruskal-Wallis,1.857142857142854,0.395117761326888,epsilon_squared,0.0,,1.0,0.6335715798498114,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,honeycomb (siganus stellatus),8,algae_strings | algaemix | mackerel,3.3333333333333335,1.0,3,4.0,1.0,3,1.75,0.5,4,Kruskal-Wallis,1.8435314685314643,0.39781598324744855,epsilon_squared,0.0,,1.0,0.6335715798498114,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,raccoon (chaetodon lunula),5,algae_strings | algaemix | mackerel,0.6666666666666666,0.6666666666666666,3,0.6666666666666666,0.6666666666666666,3,0.25,0.25,4,Kruskal-Wallis,1.4999999999999958,0.4723665527410158,epsilon_squared,0.0,,1.0,0.6335715798498114,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,sixbar (thalassoma hardwicke),1,algae_strings | algaemix | mackerel,0.0,0.0,3,0.0,0.0,3,0.25,0.25,4,Kruskal-Wallis,1.4999999999999907,0.4723665527410169,epsilon_squared,0.0,,1.0,0.6335715798498114,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,blackspot feeding (lutjanus fulviflamma),1,algae_strings | algaemix | mackerel,0.0,0.0,3,0.0,0.0,3,1.5,0.25,4,Kruskal-Wallis,1.4999999999999907,0.4723665527410169,epsilon_squared,0.0,,1.0,0.6335715798498114,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,sidespot (parupeneus pleurostigma),1,algae_strings | algaemix | mackerel,0.0,0.0,3,0.0,0.0,3,2.0,0.25,4,Kruskal-Wallis,1.4999999999999907,0.4723665527410169,epsilon_squared,0.0,,1.0,0.6335715798498114,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,disappearing (pseudocheilinus evanidus),1,algae_strings | algaemix | mackerel,0.0,0.0,3,0.0,0.0,3,0.5,0.25,4,Kruskal-Wallis,1.4999999999999907,0.4723665527410169,epsilon_squared,0.0,,1.0,0.6335715798498114,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,coral (cephalopholis miniata),1,algae_strings | algaemix | mackerel,0.0,0.0,3,0.0,0.0,3,0.5,0.25,4,Kruskal-Wallis,1.4999999999999907,0.4723665527410169,epsilon_squared,0.0,,1.0,0.6335715798498114,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,blackwhite feeding (macolor niger),1,algae_strings | algaemix | mackerel,0.0,0.0,3,0.0,0.0,3,0.25,0.25,4,Kruskal-Wallis,1.4999999999999907,0.4723665527410169,epsilon_squared,0.0,,1.0,0.6335715798498114,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,whitetail (acanthurus thompsoni),1,algae_strings | algaemix | mackerel,0.0,0.0,3,0.0,0.0,3,0.5,0.25,4,Kruskal-Wallis,1.4999999999999907,0.4723665527410169,epsilon_squared,0.0,,1.0,0.6335715798498114,ns,ns,ns,False,False,False
